,industry,job_title,description,job_link,job_id
0,Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",https://www.linkedin.com/jobs?viewJob=&jobId=43010559&trk=api*a130653*s139051*,1000
1,Computer Software,Sales and Marketing Superstar,"- Formulation and execution of sales strategy  - Customer Engagement and Account Management of active accounts - Creation of business partnerships with Digital Marketing Agencies and ecommerce platform vendors - Market Study and Competitor Analysis - Creation of various pricing models - Creating Marketing presence in India, Europe and US - Content Creation and presence in marketing forums - Search...",https://www.linkedin.com/jobs?viewJob=&jobId=44206558&trk=api*a130653*s139051*,1001
2,Internet,Visual Designer,"Work with design and product management to create and ensure a consistent visual style to new and redesigned features Develop and maintain design wireframes, mockups, and specifications as needed. Export assets and illustrations for developers. Collaborate with other designers to maintain design consistency and coherence across the product as appropriate. Work with our social media manager to brin...",https://www.linkedin.com/jobs?viewJob=&jobId=47105214&trk=api*a130653*s139051*,1002
3,"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*,1003
4,Computer Software,Crossover Software Architect - C# - $30/hr,"Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44970039&trk=api*a130653*s139051*,1004
5,Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",https://www.linkedin.com/jobs?viewJob=&jobId=41696540&trk=api*a130653*s139051*,1005
6,"Telecommunications, Information Technology and Services",Senior Solution Architect - Voice SME,"Senior Solution Architect - Voice SME  will be responsible for -   Create prototype model for solution based on understanding of customer requirements. Provide suctioning support to sales teams for specific deals. Work with Product team to enhance the service offering . May lead important projects that require providing experienced project team members with instruction, guidance and advice in all...",https://www.linkedin.com/jobs?viewJob=&jobId=47115299&trk=api*a130653*s139051*,1006
7,Computer Software,Crossover Software Architect - C# - $30/hr,"Ready to make $60,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",https://www.linkedin.com/jobs?viewJob=&jobId=44970039&trk=api*a130653*s139051*,1007
8,Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",https://www.linkedin.com/jobs?viewJob=&jobId=41696540&trk=api*a130653*s139051*,1008
9,Information Technology and Services,Frontend Developer,"What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme...",https://www.linkedin.com/jobs?viewJob=&jobId=41694880&trk=api*a130653*s139051*,1009
10,"Information Technology and Services, Hospitality","Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions)","Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a...",https://www.linkedin.com/jobs?viewJob=&jobId=59135436&trk=api*a130653*s139051*,1010
11,Information Technology and Services,Frontend Developer,"What you will do # Build cross browser compatible front-end applications using HTML, CSS and JavaScript  # Develop fast and highly scalable and responsive applications  # Work closely with a cross-functional team that includes product manager, backend developers, and UI/UX designers  # Collaborate with product managers to make sure all user interactions and features are well-designed &amp; impleme...",https://www.linkedin.com/jobs?viewJob=&jobId=41694880&trk=api*a130653*s139051*,1011
12,"Information Technology and Services, Hospitality","Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions)","Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a...",https://www.linkedin.com/jobs?viewJob=&jobId=59135436&trk=api*a130653*s139051*,1012
13,Graphic Design,Visual Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also...",https://www.linkedin.com/jobs?viewJob=&jobId=43040933&trk=api*a130653*s139051*,1013
14,Internet,Full Stack Engineer,"Be part of a rockstar team in a dynamic, fun environment. Be ready to turn around releases every 3 weeks. Unmatched opportunity to be all you can be. Accelerate your learning as you work on the latest technologies delivering a kick ass social product. Why Myndbee is cool to work at  Small, highly-focused development teams - 3 people on iOS, 3 people on Android, and 2 people on the Server. And NO Q...",https://www.linkedin.com/jobs?viewJob=&jobId=44916772&trk=api*a130653*s139051*,1014
